IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
118.39.115.184,39963,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,317,6.11
175.212.237.31,39942,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,318,6.10
218.156.213.52,39974,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,304,6.10
182.230.215.148,39945,TRUE,ICN,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,346,6.08
175.125.2.37,50024,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,345,6.08
221.157.33.162,39901,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,362,6.08
121.145.131.23,39976,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,625,6.07
175.211.144.56,39998,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,310,6.06
218.154.216.119,39877,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,303,6.05
211.252.58.154,39962,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,299,6.05
112.163.230.70,39947,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,319,6.05
112.163.230.70,39889,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,313,6.04
211.226.137.84,39960,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,306,6.03
221.156.75.219,39990,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,341,6.03
112.153.118.61,50030,TRUE,ICN,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,329,6.03
175.212.237.31,39976,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,310,6.02
183.97.43.222,39864,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,313,6.01
121.153.77.6,39885,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,299,6.00
118.131.107.154,50024,TRUE,ICN,KR,Asia Pacific,Seoul,3786,LG DACOM Corporation,332,5.98
175.206.19.87,39997,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,354,5.97
211.222.61.132,39891,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,324,5.96
49.142.67.158,50031,TRUE,ICN,KR,Asia Pacific,Seoul,9762,HYUNDAI COMMUNICATIONS NETWORK,161,5.96
175.196.72.162,50024,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,284,5.95
1.251.70.103,39864,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,385,5.95
14.36.241.233,39927,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,317,5.95
121.179.218.9,39910,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,325,5.94
59.2.231.161,39937,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,321,5.93
121.148.0.18,39976,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,345,5.93
183.97.234.117,39995,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,347,5.93
211.184.237.204,39935,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,322,5.92
118.35.213.199,39980,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,296,5.91
211.194.173.59,50024,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,323,5.91
121.181.17.93,39935,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,302,5.91
14.41.85.118,39936,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,302,5.90
1.236.238.14,39936,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,321,5.90
175.206.19.87,39938,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,323,5.90
211.223.116.99,39885,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,344,5.89
61.79.224.51,39994,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,334,5.89
1.249.131.246,50036,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,363,5.89
14.53.44.242,39869,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,338,5.88
118.36.89.139,39987,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,303,5.87
220.83.76.123,39931,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,307,5.87
211.194.201.60,39946,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,337,5.87
211.196.128.159,39850,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,348,5.85
211.108.205.49,39934,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,310,5.84
112.165.52.224,50032,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,280,5.84
121.140.79.69,39944,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,321,5.83
210.90.151.247,39961,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,300,5.82
182.226.53.214,39930,TRUE,ICN,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,304,5.82
112.186.47.116,39868,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,333,5.81
175.208.110.53,50027,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,335,5.80
222.119.247.187,39918,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,320,5.79
112.161.69.177,39935,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,320,5.78
112.163.230.70,39935,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,310,5.78
